-0.579,-20.976,-0.721,10.423,0.654,-0.248
-0.922,-21.065,-1.182,10.408,0.686,-0.257
-0.657,-20.937,-0.476,10.427,0.698,-0.245
-0.647,-20.790,-0.300,10.414,0.721,-0.254
-0.647,-21.192,-1.467,10.410,0.720,-0.255
-0.775,-20.976,-0.888,10.459,0.682,-0.248
-0.716,-20.986,-0.643,10.458,0.716,-0.250
-0.716,-20.918,-0.545,10.453,0.691,-0.248
-0.598,-20.947,-0.849,10.436,0.704,-0.254
-0.530,-20.878,-0.614,10.419,0.734,-0.255
-0.029,-20.780,0.142,10.346,0.938,-0.260
0.235,-20.859,-0.339,10.303,1.027,-0.268
0.176,-20.849,-0.584,10.342,1.063,-0.260
0.461,-20.790,-0.457,10.321,1.134,-0.268
0.431,-20.771,-0.653,10.344,1.103,-0.260
0.373,-20.967,-0.947,10.361,1.119,-0.269
0.098,-20.702,-1.016,10.318,0.989,-0.265
0.382,-20.947,-1.133,10.358,1.016,-0.262
0.696,-21.192,-1.231,10.343,1.100,-0.249
0.441,-20.947,-0.917,10.347,1.113,-0.269
0.480,-20.643,-0.761,10.288,1.107,-0.264
0.284,-20.967,-1.408,10.271,1.076,-0.269
0.363,-20.633,-0.731,10.290,1.067,-0.266
0.235,-20.692,0.210,10.350,1.048,-0.262
0.343,-21.016,-1.506,10.349,1.064,-0.256
0.304,-20.918,-0.672,10.334,1.019,-0.274
0.226,-20.820,-0.564,10.380,1.016,-0.269
0.363,-20.937,-0.800,10.349,1.078,-0.263
0.412,-20.849,-0.604,10.371,1.104,-0.263
0.431,-20.967,-0.211,10.362,1.093,-0.267
0.461,-20.820,-0.898,10.345,1.115,-0.264
0.402,-20.976,-0.466,10.373,1.093,-0.273
0.441,-20.810,-0.427,10.355,1.101,-0.265
0.451,-21.025,-1.359,10.342,1.126,-0.271
0.608,-20.574,-0.260,10.329,1.093,-0.272
0.530,-20.604,-0.506,10.301,1.080,-0.264
0.304,-21.124,-1.516,10.385,1.051,-0.269
0.402,-20.957,-1.300,10.401,1.100,-0.268
0.412,-20.996,-0.506,10.343,1.124,-0.264
0.422,-21.065,-1.153,10.377,1.080,-0.265
0.147,-21.349,-1.555,10.387,1.066,-0.269
0.480,-20.908,-0.378,10.354,1.065,-0.268
0.480,-20.790,-1.104,10.334,1.101,-0.271
0.402,-21.006,-0.584,10.394,1.073,-0.267
0.304,-20.790,-0.682,10.346,1.018,-0.260
0.382,-20.976,-0.770,10.351,1.069,-0.268
0.363,-21.202,-1.114,10.410,1.029,-0.269
0.412,-20.790,-0.496,10.382,1.017,-0.273
0.157,-20.927,-0.466,10.391,1.006,-0.266
0.314,-21.084,-1.025,10.373,1.037,-0.266
0.382,-20.790,-0.564,10.346,1.065,-0.269
0.314,-20.918,-0.506,10.378,1.032,-0.257
0.176,-20.918,-0.986,10.370,1.047,-0.268
0.392,-20.467,-4.546,10.379,0.997,-0.075
-1.206,-19.211,4.172,9.713,0.396,-0.121
-1.422,-19.917,1.838,10.263,0.278,-0.094
-0.677,-20.113,4.221,10.125,0.590,-0.139
0.294,-19.937,4.819,10.234,0.925,-0.119
0.922,-20.153,4.260,10.300,1.203,-0.109
1.716,-20.153,3.456,10.351,1.532,-0.135
2.295,-20.359,1.367,10.375,1.759,-0.154
3.060,-20.457,1.711,10.422,2.017,-0.138
3.756,-20.241,1.407,10.493,2.367,-0.146
4.629,-20.388,1.466,10.517,2.618,-0.225
5.511,-20.584,0.289,10.575,2.822,-0.148
5.776,-20.721,-0.104,10.624,3.020,-0.177
1.402,-21.369,-4.575,10.805,1.239,-0.079
