1.490,2.216,26.862,-0.872,0.187,0.065
1.490,2.108,26.598,-0.893,0.183,0.053
1.510,2.265,26.774,-0.874,0.187,0.058
1.598,2.305,26.902,-0.874,0.189,0.058
1.530,2.236,26.549,-0.873,0.185,0.070
1.353,2.354,26.784,-0.884,0.198,0.060
1.451,2.275,26.431,-0.881,0.183,0.069
1.569,2.275,26.902,-0.855,0.181,0.063
1.549,2.265,26.186,-0.873,0.178,0.074
1.422,2.275,26.980,-0.880,0.188,0.062
1.471,2.295,26.872,-0.874,0.177,0.060
1.353,2.393,25.990,-0.851,0.182,0.076
1.598,2.079,27.000,-0.875,0.182,0.060
1.530,2.236,26.911,-0.882,0.178,0.057
1.353,2.295,26.823,-0.878,0.194,0.059
1.461,2.128,26.960,-0.881,0.190,0.069
1.392,2.412,27.029,-0.878,0.190,0.058
1.471,2.305,27.019,-0.872,0.183,0.060
1.422,2.206,26.500,-0.882,0.194,0.076
1.422,2.265,26.794,-0.883,0.200,0.071
1.324,2.295,27.108,-0.883,0.194,0.059
1.334,2.246,27.000,-0.874,0.188,0.064
1.481,2.295,26.872,-0.882,0.190,0.068
1.598,2.226,26.911,-0.874,0.173,0.059
1.481,2.324,26.745,-0.873,0.189,0.072
1.579,2.295,26.735,-0.882,0.186,0.071
1.402,2.354,27.098,-0.879,0.190,0.057
1.589,2.256,27.049,-0.880,0.193,0.058
1.275,2.138,27.274,-0.882,0.198,0.060
1.530,2.206,27.451,-0.869,0.181,0.061
1.441,2.295,27.215,-0.883,0.195,0.055
1.422,2.256,27.353,-0.883,0.189,0.057
1.549,2.108,26.784,-0.879,0.191,0.070
1.510,2.256,27.617,-0.883,0.195,0.058
1.539,2.138,27.470,-0.880,0.191,0.063
1.412,2.148,26.892,-0.878,0.192,0.069
1.481,2.324,27.333,-0.873,0.180,0.062
1.422,2.432,27.323,-0.864,0.179,0.060
1.441,2.295,27.402,-0.876,0.184,0.057
1.539,2.275,27.333,-0.884,0.186,0.063
1.343,2.265,27.049,-0.868,0.188,0.067
1.608,2.265,27.598,-0.881,0.188,0.056
1.687,2.354,26.960,-0.862,0.181,0.073
1.343,2.246,27.451,-0.871,0.194,0.062
1.441,2.236,27.431,-0.871,0.188,0.058
1.471,2.177,27.235,-0.877,0.181,0.072
1.422,2.206,27.098,-0.865,0.173,0.071
1.461,2.295,27.470,-0.889,0.195,0.072
1.441,2.069,27.343,-0.879,0.196,0.071
1.520,2.246,27.255,-0.872,0.178,0.071
1.500,2.265,27.833,-0.876,0.190,0.052
1.334,2.206,28.029,-0.876,0.195,0.062
1.383,2.314,27.814,-0.871,0.188,0.062
1.530,2.148,27.206,-0.882,0.196,0.070
1.471,2.265,27.294,-0.869,0.188,0.068
1.392,2.265,27.686,-0.874,0.185,0.054
1.334,2.305,27.892,-0.867,0.195,0.061
1.579,2.099,27.833,-0.877,0.187,0.059
1.412,2.177,27.451,-0.871,0.184,0.072
1.451,2.295,27.882,-0.873,0.200,0.055
1.304,2.138,28.137,-0.883,0.196,0.056
1.559,2.275,28.059,-0.874,0.177,0.053
1.530,2.197,27.657,-0.874,0.181,0.066
1.481,2.314,28.186,-0.871,0.184,0.054
1.510,2.373,28.108,-0.872,0.187,0.054
1.451,2.236,28.177,-0.869,0.184,0.055
1.461,2.177,28.059,-0.874,0.183,0.056
1.500,2.226,27.774,-0.878,0.187,0.066
1.530,2.148,28.549,-0.884,0.198,0.058
1.510,2.265,28.029,-0.883,0.186,0.053
1.432,2.246,27.912,-0.879,0.189,0.053
1.441,2.275,28.206,-0.874,0.186,0.055
1.402,2.236,28.324,-0.887,0.186,0.053
1.451,2.285,28.255,-0.876,0.180,0.055
1.559,2.020,28.177,-0.887,0.184,0.062
1.432,2.226,28.000,-0.879,0.192,0.058
1.363,2.246,28.177,-0.869,0.184,0.059
1.481,2.187,27.765,-0.878,0.186,0.071
1.569,2.187,28.098,-0.870,0.186,0.063
1.500,2.265,28.353,-0.878,0.198,0.054
1.471,2.206,27.686,-0.878,0.189,0.071
1.579,2.324,28.314,-0.868,0.178,0.053
1.324,2.167,28.461,-0.880,0.191,0.048
1.549,2.099,28.314,-0.874,0.194,0.058
1.500,2.079,28.471,-0.883,0.194,0.056
1.441,2.363,28.431,-0.870,0.180,0.062
1.441,2.206,28.108,-0.871,0.189,0.056
1.275,2.363,23.930,-0.883,0.177,0.179
1.814,2.510,24.185,-0.848,0.186,0.307
1.628,2.550,24.313,-0.809,0.186,0.172
1.539,2.658,24.136,-0.799,0.166,0.197
1.510,2.687,23.332,-0.798,0.177,0.213
1.628,2.805,23.656,-0.810,0.177,0.221
1.716,2.687,23.420,-0.810,0.167,0.222
1.334,2.834,25.921,-0.810,0.179,0.151
1.745,2.775,24.548,-0.786,0.196,0.135
1.235,2.059,25.117,-0.879,0.114,0.140
1.432,2.726,25.666,-0.880,0.281,0.056
1.481,2.687,25.607,-0.910,0.113,0.232
1.490,2.775,26.215,-0.920,0.190,0.246
1.794,3.707,27.922,-0.982,0.330,0.142
1.589,3.736,25.784,-0.942,0.193,0.151
1.726,3.883,26.951,-1.001,0.208,0.129
1.696,4.168,23.989,-0.996,0.136,0.228
1.422,4.187,24.724,-0.998,0.159,0.191
1.638,4.070,25.215,-0.995,0.156,0.182
1.559,4.099,24.626,-0.986,0.163,0.194
1.510,4.168,24.489,-0.993,0.162,0.194
1.589,4.089,24.842,-0.982,0.157,0.209
1.687,3.883,24.823,-0.989,0.140,0.212
1.628,4.099,24.126,-0.967,0.160,0.227
1.569,3.932,24.931,-0.981,0.157,0.198
1.687,4.021,24.323,-0.971,0.168,0.224
1.618,4.040,25.107,-0.982,0.145,0.205
1.638,4.119,25.450,-0.979,0.153,0.197
1.500,3.981,25.058,-0.994,0.159,0.200
1.539,3.981,24.087,-0.985,0.162,0.224
1.481,4.256,24.126,-0.971,0.157,0.223
1.510,4.060,24.617,-0.974,0.148,0.202
