Fx,Fy,Fz,Mx,My,Mz, ,X,Y,Z,W,P,R
0.432,30.597,13.940,-1.709,-0.438,-0.358,    ,848.462,-64.707,300.501,-152.754,-0.945,-1.904
0.402,31.911,13.861,-1.774,-0.333,-0.449,    ,848.462,-64.707,300.501,-151.824,-0.914,-1.919
0.079,32.166,14.489,-1.813,-0.357,-0.530,    ,848.462,-64.707,300.501,-150.893,-0.882,-1.934
0.383,32.872,14.832,-1.916,-0.366,-0.568,    ,848.462,-64.707,300.501,-150.428,-0.867,-1.941
0.844,33.460,13.126,-1.794,-0.443,-0.533,    ,848.462,-64.707,300.501,-149.514,-0.836,-1.955
0.412,34.657,11.312,-1.823,-0.421,-0.557,    ,848.462,-64.707,300.501,-148.617,-0.805,-1.967
0.697,35.422,11.831,-1.866,-0.417,-0.598,    ,848.462,-64.707,300.501,-147.669,-0.772,-1.980
0.451,36.520,12.234,-1.848,-0.400,-0.717,    ,848.462,-64.706,300.501,-146.805,-0.742,-1.992
0.138,37.157,11.282,-1.815,-0.446,-0.726,    ,848.462,-64.706,300.501,-145.891,-0.710,-2.003
0.883,37.893,10.007,-1.884,-0.482,-0.632,    ,848.462,-64.706,300.501,-144.961,-0.678,-2.015
0.540,38.246,8.948,-1.783,-0.475,-0.709,    ,848.463,-64.706,300.501,-144.014,-0.644,-2.026
0.304,38.677,9.184,-1.767,-0.512,-0.702,    ,848.463,-64.706,300.502,-143.083,-0.611,-2.036
0.785,40.276,9.586,-1.862,-0.524,-0.767,    ,848.463,-64.706,300.502,-142.635,-0.595,-2.041
0.844,40.649,8.576,-1.754,-0.526,-0.737,    ,848.463,-64.706,300.502,-141.704,-0.562,-2.050
1.059,41.482,7.958,-1.992,-0.481,-0.685,    ,848.463,-64.706,300.502,-140.790,-0.529,-2.059
1.922,42.002,7.673,-2.065,-0.509,-0.564,    ,848.463,-64.706,300.502,-139.860,-0.496,-2.067
1.216,42.522,7.850,-2.169,-0.346,-0.660,    ,848.463,-64.706,300.502,-138.930,-0.462,-2.075
0.932,42.845,8.958,-2.219,-0.367,-0.704,    ,848.463,-64.706,300.502,-137.999,-0.429,-2.082
1.501,43.747,8.213,-2.288,-0.306,-0.734,    ,848.463,-64.705,300.502,-137.168,-0.398,-2.088
0.520,44.140,6.948,-2.239,-0.339,-0.760,    ,848.463,-64.705,300.502,-136.221,-0.364,-2.094
0.628,43.718,6.654,-2.358,-0.296,-0.762,    ,848.463,-64.705,300.502,-135.457,-0.336,-2.099
1.265,45.434,6.771,-2.496,-0.295,-0.663,    ,848.463,-64.705,300.503,-134.676,-0.307,-2.103
0.098,44.924,6.634,-2.423,-0.303,-0.768,    ,848.463,-64.705,300.503,-133.746,-0.273,-2.108
1.373,46.229,6.810,-2.528,-0.187,-0.684,    ,848.464,-64.705,300.503,-132.915,-0.242,-2.112
0.412,46.454,6.144,-2.543,-0.265,-0.645,    ,848.464,-64.705,300.503,-132.085,-0.212,-2.115
1.157,46.140,5.438,-2.652,-0.279,-0.601,    ,848.464,-64.705,300.503,-131.221,-0.180,-2.118
1.197,46.954,4.182,-2.533,-0.268,-0.594,    ,848.464,-64.705,300.503,-130.290,-0.145,-2.121
1.050,47.680,3.682,-2.492,-0.355,-0.718,    ,848.464,-64.705,300.503,-129.360,-0.111,-2.123
0.687,48.955,3.182,-2.527,-0.301,-0.728,    ,848.464,-64.705,300.503,-128.429,-0.076,-2.124
1.265,48.670,3.525,-2.552,-0.271,-0.743,    ,848.464,-64.705,300.503,-127.499,-0.042,-2.125
1.069,49.249,2.603,-2.550,-0.334,-0.682,    ,848.464,-64.705,300.504,-127.051,-0.025,-2.126
0.834,49.239,2.623,-2.633,-0.271,-0.736,    ,848.464,-64.705,300.504,-126.153,0.008,-2.126
0.353,50.720,0.093,-2.558,-0.416,-0.688,    ,848.464,-64.705,300.504,-125.206,0.043,-2.125
1.050,50.102,0.250,-2.616,-0.397,-0.585,    ,848.464,-64.705,300.504,-124.293,0.077,-2.124
1.520,50.896,0.377,-2.618,-0.301,-0.683,    ,848.464,-64.705,300.504,-123.362,0.112,-2.123
0.344,50.347,0.671,-2.766,-0.283,-0.761,    ,848.464,-64.704,300.504,-122.415,0.147,-2.121
0.883,52.505,-0.005,-2.759,-0.318,-0.727,    ,848.464,-64.704,300.504,-121.485,0.181,-2.118
1.177,53.319,-0.545,-2.831,-0.414,-0.611,    ,848.464,-64.704,300.504,-120.638,0.212,-2.115
0.755,51.926,-1.917,-2.698,-0.345,-0.824,    ,848.464,-64.704,300.505,-119.724,0.246,-2.112
0.285,52.779,-2.673,-2.685,-0.306,-0.875,    ,848.464,-64.704,300.505,-118.810,0.280,-2.107
0.138,55.937,-4.232,-2.548,-0.356,-0.953,    ,848.465,-64.704,300.505,-117.996,0.310,-2.103
0.697,56.271,-4.144,-2.586,-0.398,-0.891,    ,848.465,-64.704,300.505,-117.132,0.341,-2.098
