0.883,-0.785,-3.403,0.102,-0.042,0.097,    ,-1169.723,806.740,-136.686,125.476,2.650,-35.646
0.726,-0.628,-4.089,0.090,-0.044,0.116,    ,-1169.723,806.740,-136.686,125.476,2.650,-35.646
0.667,-0.667,-3.432,0.104,-0.054,0.081,    ,-1169.723,806.740,-136.686,125.476,2.650,-35.646
0.863,-0.647,-3.746,0.102,-0.042,0.109,    ,-1169.723,806.740,-136.686,125.476,2.650,-35.646
0.853,-0.686,-3.815,0.108,-0.056,0.117,    ,-1169.723,806.740,-136.686,125.476,2.650,-35.646
0.628,-0.637,-3.825,0.102,-0.060,0.084,    ,-1169.723,806.740,-136.686,125.476,2.650,-35.646
0.775,-0.559,-3.383,0.106,-0.041,0.096,    ,-1169.723,806.740,-136.686,125.476,2.650,-35.646
0.735,-0.549,-4.266,0.095,-0.045,0.104,    ,-1169.723,806.740,-136.686,125.476,2.650,-35.646
0.745,-0.794,-3.069,0.105,-0.049,0.084,    ,-1169.723,806.740,-136.686,125.476,2.650,-35.646
0.726,-0.451,-4.148,0.114,-0.050,0.110,    ,-1169.723,806.740,-136.686,125.476,2.650,-35.646
0.775,-0.726,-3.952,0.097,-0.043,0.108,    ,-1169.723,806.740,-136.686,125.476,2.650,-35.646
0.726,-0.598,-4.325,0.113,-0.045,0.112,    ,-1169.723,806.740,-136.686,125.476,2.650,-35.646
0.667,-0.775,-3.609,0.114,-0.046,0.103,    ,-1169.723,806.740,-136.686,125.476,2.650,-35.646
0.471,-0.559,-3.579,0.114,-0.043,0.110,    ,-1169.723,806.740,-136.686,125.476,2.650,-35.646
0.706,-0.657,-3.530,0.103,-0.052,0.086,    ,-1169.723,806.740,-136.686,125.476,2.650,-35.646
0.814,-0.745,-3.746,0.110,-0.047,0.115,    ,-1169.723,806.740,-136.686,125.476,2.650,-35.646
0.549,-0.618,-3.795,0.106,-0.039,0.093,    ,-1169.723,806.740,-136.686,125.476,2.650,-35.646
0.775,-0.510,-4.452,0.103,-0.028,0.113,    ,-1169.723,806.740,-136.686,125.476,2.650,-35.646
0.726,-0.510,-3.981,0.107,-0.047,0.101,    ,-1169.723,806.740,-136.686,125.476,2.650,-35.646
0.657,-0.696,-3.697,0.095,-0.047,0.097,    ,-1169.723,806.740,-136.686,125.476,2.650,-35.646
