0.333,-0.716,-7.227,0.081,0.068,0.110,    ,-1169.788,807.060,-126.829,125.439,2.619,-35.670
0.216,0.412,-6.766,-0.120,-0.012,0.103,    ,-1169.788,807.060,-126.829,125.439,2.619,-35.670
0.373,-1.304,-7.012,0.114,0.041,0.110,    ,-1169.788,807.060,-126.829,125.439,2.619,-35.670
0.471,0.010,-6.423,-0.054,0.069,0.113,    ,-1169.788,807.060,-126.829,125.439,2.619,-35.670
0.598,-0.147,-6.923,-0.039,0.058,0.115,    ,-1169.788,807.060,-126.829,125.439,2.619,-35.670
0.353,0.196,-7.041,-0.091,0.039,0.108,    ,-1169.788,807.060,-126.829,125.439,2.619,-35.670
0.471,-0.294,-6.443,-0.029,0.062,0.111,    ,-1169.788,807.060,-126.829,125.439,2.619,-35.670
0.196,-0.579,-6.894,0.000,0.095,0.103,    ,-1169.788,807.060,-126.829,125.439,2.619,-35.670
0.186,-0.029,-6.678,-0.025,0.049,0.096,    ,-1169.788,807.060,-126.829,125.439,2.619,-35.670
0.177,-0.471,-7.110,-0.026,0.076,0.100,    ,-1169.788,807.060,-126.829,125.439,2.619,-35.670
0.098,-0.010,-6.394,-0.102,0.011,0.102,    ,-1169.788,807.060,-126.829,125.439,2.619,-35.670
0.794,-0.373,-6.482,0.015,0.098,0.113,    ,-1169.788,807.060,-126.829,125.439,2.619,-35.670
0.186,-1.069,-7.021,0.059,0.058,0.110,    ,-1169.788,807.060,-126.829,125.439,2.619,-35.670
0.863,-0.078,-6.051,-0.019,0.072,0.114,    ,-1169.788,807.060,-126.829,125.439,2.619,-35.670
0.559,-1.363,-7.522,0.163,0.058,0.120,    ,-1169.788,807.060,-126.829,125.439,2.619,-35.670
0.471,-0.294,-6.551,-0.063,0.014,0.108,    ,-1169.788,807.060,-126.829,125.439,2.619,-35.670
0.373,-0.010,-6.796,-0.052,0.005,0.112,    ,-1169.788,807.060,-126.829,125.439,2.619,-35.670
0.471,-0.461,-6.884,0.004,0.020,0.121,    ,-1169.788,807.060,-126.829,125.439,2.619,-35.670
0.745,0.333,-6.423,-0.117,0.076,0.115,    ,-1169.788,807.060,-126.829,125.439,2.619,-35.670
0.539,-0.294,-6.914,-0.018,0.081,0.107,    ,-1169.788,807.060,-126.829,125.439,2.619,-35.670
0.559,0.137,-6.806,-0.068,0.105,0.116,    ,-1169.788,807.060,-126.829,125.439,2.619,-35.670
0.402,-0.265,-6.168,-0.025,0.031,0.108,    ,-1169.788,807.060,-126.829,125.439,2.619,-35.670
0.304,-0.039,-6.766,-0.063,0.028,0.109,    ,-1169.788,807.060,-126.829,125.439,2.619,-35.670
0.127,0.010,-6.649,-0.028,0.000,0.112,    ,-1169.788,807.060,-126.829,125.439,2.619,-35.670
1.177,-0.912,-9.503,-0.006,0.049,0.282,    ,-1169.788,807.060,-126.829,125.439,2.619,-35.670
0.108,-0.559,-10.503,0.009,0.022,0.239,    ,-1169.904,806.921,-126.900,125.439,2.620,-35.670
1.030,0.569,-9.238,-0.108,0.108,0.201,    ,-1170.381,806.349,-127.187,125.439,2.620,-35.670
-0.059,-0.490,-10.267,0.036,-0.039,0.237,    ,-1172.368,803.971,-128.383,125.440,2.621,-35.670
1.010,0.010,-10.150,-0.022,0.097,0.237,    ,-1174.670,801.213,-129.770,125.441,2.622,-35.669
