Fx,Fy,Fz,Mx,My,Mz, ,X,Y,Z,W,P,R
7.708,6.021,39.112,0.373,-0.464,-0.593,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.679,5.972,38.72,0.374,-0.475,-0.596,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.708,5.972,38.691,0.365,-0.47,-0.594,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.581,5.923,38.651,0.366,-0.472,-0.589,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.59,5.756,38.651,0.367,-0.465,-0.591,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.688,5.904,38.691,0.368,-0.478,-0.589,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.63,5.855,38.857,0.361,-0.465,-0.591,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.6,5.796,38.602,0.368,-0.474,-0.589,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.688,5.874,38.671,0.376,-0.476,-0.588,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.581,5.913,38.71,0.371,-0.466,-0.587,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.531,5.815,38.651,0.373,-0.464,-0.592,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.639,5.962,39.024,0.377,-0.47,-0.59,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.561,5.855,38.789,0.38,-0.468,-0.586,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.6,5.943,38.583,0.379,-0.481,-0.584,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.659,5.933,38.955,0.364,-0.466,-0.594,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.708,5.747,38.681,0.37,-0.483,-0.588,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.688,5.766,38.896,0.37,-0.466,-0.594,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.531,5.953,38.681,0.374,-0.469,-0.59,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.679,5.874,38.965,0.354,-0.471,-0.593,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.679,5.776,38.975,0.36,-0.481,-0.589,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.492,5.835,39.053,0.376,-0.464,-0.594,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.59,5.805,38.887,0.383,-0.463,-0.593,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.61,5.894,38.867,0.371,-0.469,-0.591,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.541,5.874,39.034,0.363,-0.462,-0.593,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.708,6.031,39.063,0.368,-0.47,-0.589,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.679,5.904,39.004,0.363,-0.471,-0.597,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.6,5.855,39.014,0.373,-0.473,-0.592,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.531,5.845,38.867,0.358,-0.464,-0.594,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.63,5.894,38.779,0.371,-0.473,-0.595,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.63,5.962,38.779,0.374,-0.482,-0.588,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.639,5.864,39.014,0.359,-0.475,-0.589,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.669,5.825,39.21,0.363,-0.474,-0.589,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.551,5.805,39.073,0.361,-0.473,-0.593,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.679,5.727,38.936,0.364,-0.48,-0.592,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.581,5.943,38.759,0.374,-0.469,-0.589,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.59,5.884,38.749,0.369,-0.471,-0.59,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.679,5.845,39.063,0.362,-0.471,-0.593,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.649,5.815,38.583,0.366,-0.476,-0.593,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.541,5.874,38.857,0.37,-0.467,-0.595,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.561,5.972,39.034,0.369,-0.459,-0.593,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.639,5.884,38.916,0.363,-0.47,-0.592,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.59,5.805,39.181,0.365,-0.465,-0.59,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.581,5.874,38.867,0.366,-0.465,-0.588,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.561,5.825,39.191,0.367,-0.472,-0.592,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.502,5.815,38.896,0.361,-0.472,-0.598,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.561,5.835,39.024,0.363,-0.473,-0.59,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.581,5.864,39.338,0.365,-0.468,-0.593,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.728,5.835,39.103,0.367,-0.474,-0.594,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.59,5.913,39.171,0.373,-0.47,-0.595,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.492,5.815,38.965,0.365,-0.46,-0.591,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.679,5.855,39.034,0.369,-0.475,-0.593,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.718,5.894,38.965,0.375,-0.484,-0.586,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.679,5.904,38.955,0.376,-0.488,-0.591,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.639,5.943,39.289,0.372,-0.471,-0.597,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.571,5.972,38.916,0.376,-0.477,-0.584,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.669,5.992,38.289,0.372,-0.469,-0.584,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.639,5.894,38.583,0.375,-0.467,-0.583,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.659,5.855,38.445,0.364,-0.478,-0.58,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.698,5.678,39.161,0.361,-0.47,-0.591,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.581,5.904,39.112,0.366,-0.466,-0.597,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.59,5.894,39.161,0.367,-0.467,-0.594,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.59,5.972,39.171,0.365,-0.472,-0.6,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.688,5.913,39.004,0.376,-0.468,-0.582,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.62,5.874,38.867,0.362,-0.473,-0.577,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.394,5.815,38.642,0.37,-0.469,-0.582,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.551,5.796,39.201,0.361,-0.469,-0.595,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.571,5.815,38.642,0.369,-0.477,-0.58,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.737,5.845,38.71,0.358,-0.473,-0.584,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.669,5.776,38.72,0.375,-0.468,-0.587,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.649,5.796,38.867,0.368,-0.464,-0.581,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.6,5.805,38.955,0.363,-0.472,-0.587,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.571,5.855,38.867,0.357,-0.455,-0.589,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.63,6.011,38.955,0.373,-0.467,-0.584,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.61,5.796,38.543,0.359,-0.471,-0.591,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.718,5.855,38.74,0.368,-0.477,-0.582,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.561,5.845,38.681,0.375,-0.47,-0.582,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.679,5.953,38.485,0.377,-0.467,-0.584,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.63,5.884,38.651,0.366,-0.459,-0.581,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.531,5.737,38.475,0.364,-0.472,-0.589,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.571,5.933,39.024,0.369,-0.461,-0.588,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.59,5.776,38.249,0.369,-0.477,-0.58,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.63,5.913,38.769,0.363,-0.462,-0.589,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.757,5.776,38.681,0.365,-0.474,-0.583,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.659,5.835,38.936,0.371,-0.473,-0.589,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.659,5.835,38.936,0.371,-0.473,-0.589,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.639,5.894,38.926,0.364,-0.47,-0.581,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
