-1.471,2.187,36.473,-0.749,0.201,0.102
-1.520,2.050,36.306,-0.745,0.188,0.096
-1.452,2.256,37.218,-0.730,0.182,0.082
-1.452,2.148,36.600,-0.735,0.188,0.101
-1.344,2.187,36.679,-0.733,0.180,0.100
-1.599,2.157,36.757,-0.746,0.202,0.096
-1.432,2.108,36.816,-0.743,0.182,0.095
-1.353,2.167,36.679,-0.752,0.186,0.095
-1.442,2.226,37.238,-0.743,0.184,0.084
-1.442,2.373,36.728,-0.742,0.194,0.095
-1.589,2.030,37.346,-0.748,0.199,0.083
-1.501,2.030,36.561,-0.739,0.178,0.097
-1.540,2.157,37.169,-0.772,0.197,0.093
-1.530,1.971,36.747,-0.750,0.194,0.103
-1.550,2.226,37.346,-0.753,0.208,0.084
-1.452,2.177,36.885,-0.741,0.192,0.098
-1.559,2.148,37.561,-0.746,0.190,0.082
-1.481,2.020,37.522,-0.756,0.204,0.087
-1.540,2.187,37.424,-0.734,0.188,0.082
-1.510,2.099,37.444,-0.750,0.191,0.085
-1.491,2.128,37.199,-0.743,0.185,0.086
-1.510,2.314,37.552,-0.734,0.181,0.081
-1.412,2.246,37.473,-0.735,0.187,0.079
-1.373,2.079,37.081,-0.741,0.185,0.092
-1.540,2.079,37.444,-0.742,0.184,0.079
-1.422,1.961,37.718,-0.755,0.201,0.078
-1.442,2.206,37.758,-0.747,0.184,0.078
-1.403,2.295,37.738,-0.747,0.206,0.079
-1.344,2.285,37.581,-0.747,0.195,0.076
-1.520,2.236,37.660,-0.745,0.193,0.078
-1.461,2.030,37.924,-0.745,0.179,0.078
-1.697,2.079,37.797,-0.752,0.201,0.077
-1.412,2.177,37.444,-0.740,0.189,0.080
-1.501,2.256,37.865,-0.744,0.192,0.071
-1.520,2.177,37.767,-0.742,0.197,0.076
-1.344,2.324,37.748,-0.738,0.191,0.083
-1.285,2.305,37.748,-0.733,0.192,0.083
-1.501,2.206,37.277,-0.727,0.150,0.081
-1.412,2.246,37.836,-0.746,0.190,0.076
-1.422,2.157,38.101,-0.746,0.193,0.077
-1.559,2.216,38.013,-0.747,0.193,0.076
-1.461,2.187,38.101,-0.750,0.189,0.069
-1.422,2.256,38.101,-0.744,0.187,0.078
-1.412,2.275,37.787,-0.744,0.200,0.078
-1.540,2.157,38.277,-0.753,0.196,0.070
-1.471,2.157,37.964,-0.734,0.180,0.084
-1.530,2.148,37.993,-0.740,0.188,0.071
-1.393,2.157,38.258,-0.750,0.185,0.071
-1.471,2.069,38.160,-0.743,0.186,0.073
-1.422,1.961,37.816,-0.738,0.186,0.079
-1.520,2.236,38.071,-0.744,0.194,0.075
-1.403,2.108,37.777,-0.742,0.183,0.080
-1.510,2.305,38.179,-0.735,0.194,0.075
-1.599,2.099,38.052,-0.746,0.197,0.066
-1.510,2.305,38.140,-0.745,0.187,0.078
-1.403,2.128,37.924,-0.738,0.188,0.072
-1.618,2.197,38.336,-0.744,0.197,0.073
-1.530,2.010,38.189,-0.748,0.185,0.074
-1.481,2.108,38.268,-0.743,0.191,0.068
-1.383,2.295,38.326,-0.742,0.199,0.072
-1.393,2.187,38.277,-0.732,0.190,0.075
-1.569,2.197,38.199,-0.732,0.175,0.074
-1.530,2.089,38.581,-0.752,0.192,0.068
-1.412,2.295,38.385,-0.735,0.192,0.066
-1.599,2.177,38.650,-0.744,0.194,0.065
-1.471,2.226,38.522,-0.743,0.192,0.069
-1.569,2.275,38.444,-0.732,0.191,0.072
-1.353,2.187,38.660,-0.745,0.186,0.070
-1.461,2.246,38.728,-0.744,0.189,0.067
-1.422,2.128,38.748,-0.742,0.195,0.063
-1.442,2.157,38.905,-0.738,0.195,0.066
-1.383,2.001,38.856,-0.745,0.185,0.066
-1.559,2.001,38.983,-0.753,0.205,0.057
-1.442,2.108,38.689,-0.742,0.187,0.067
-1.383,2.285,39.140,-0.749,0.196,0.061
-1.422,1.971,38.875,-0.756,0.189,0.063
-1.697,2.069,38.974,-0.743,0.199,0.061
-1.579,2.157,39.003,-0.735,0.185,0.057
-1.481,2.187,39.258,-0.741,0.186,0.066
-1.501,2.099,39.278,-0.742,0.189,0.064
-1.442,2.275,39.180,-0.730,0.192,0.058
-1.432,2.059,39.385,-0.740,0.185,0.065
-1.353,2.177,39.082,-0.750,0.207,0.060
-1.452,2.099,39.101,-0.753,0.188,0.062
-1.334,2.079,39.052,-0.752,0.187,0.058
-1.393,2.138,39.258,-0.743,0.194,0.061
-1.452,1.971,39.042,-0.757,0.199,0.062
-1.324,2.020,39.287,-0.754,0.193,0.054
-1.471,2.206,39.317,-0.739,0.201,0.065
-1.461,1.991,39.140,-0.752,0.183,0.065
-1.432,2.216,39.415,-0.745,0.199,0.054
-1.412,2.197,39.278,-0.738,0.196,0.064
-1.569,2.040,39.493,-0.741,0.196,0.061
-1.501,2.256,39.317,-0.737,0.188,0.067
-1.550,2.216,39.356,-0.741,0.189,0.058
-1.452,2.157,39.287,-0.739,0.174,0.064
-1.540,2.108,39.523,-0.751,0.194,0.055
-1.363,2.177,39.493,-0.741,0.185,0.061
-1.491,2.089,39.601,-0.752,0.201,0.053
-1.403,2.089,39.611,-0.754,0.186,0.055
-1.501,2.206,39.523,-0.734,0.183,0.064
-1.461,1.942,39.768,-0.738,0.189,0.061
-1.481,2.226,39.493,-0.748,0.193,0.056
-1.638,2.216,39.631,-0.742,0.193,0.057
-1.442,2.059,39.405,-0.754,0.192,0.054
-1.403,2.118,39.896,-0.747,0.194,0.052
-1.422,2.295,39.552,-0.735,0.181,0.057
-1.432,2.108,39.641,-0.751,0.184,0.058
-1.520,2.118,39.837,-0.740,0.182,0.053
-1.491,2.108,39.591,-0.746,0.187,0.053
-1.353,2.050,39.974,-0.764,0.200,0.051
-1.461,2.050,39.582,-0.751,0.197,0.060
-1.471,2.099,39.611,-0.750,0.204,0.061
-1.432,2.187,40.082,-0.744,0.194,0.052
-1.667,2.138,39.954,-0.746,0.199,0.056
-1.383,2.148,39.768,-0.738,0.178,0.061
-1.559,2.069,39.572,-0.755,0.192,0.061
-1.510,2.157,39.856,-0.746,0.199,0.065
-1.432,2.216,40.072,-0.738,0.186,0.055
-1.559,2.197,39.729,-0.744,0.195,0.054
-1.697,2.108,40.278,-0.750,0.208,0.056
-1.540,2.314,40.082,-0.744,0.201,0.051
-1.344,2.001,39.748,-0.746,0.193,0.063
-1.422,2.079,40.092,-0.743,0.184,0.055
-1.373,1.991,40.199,-0.754,0.186,0.049
-1.501,2.197,40.229,-0.743,0.186,0.055
-1.530,2.177,40.121,-0.740,0.183,0.054
-1.491,1.971,39.935,-0.746,0.183,0.051
-1.344,2.050,40.003,-0.740,0.189,0.058
-1.412,2.138,40.405,-0.741,0.199,0.051
-1.589,2.050,40.209,-0.749,0.190,0.051
-1.501,1.991,40.180,-0.752,0.186,0.049
-1.452,2.079,40.141,-0.760,0.195,0.051
-1.461,2.138,40.337,-0.748,0.175,0.055
-1.550,2.246,40.484,-0.741,0.187,0.046
-1.520,2.069,40.347,-0.743,0.187,0.050
-1.608,2.089,40.307,-0.745,0.178,0.054
-1.510,2.059,40.141,-0.739,0.177,0.046
-1.393,2.079,40.454,-0.751,0.196,0.051
-1.393,2.128,40.386,-0.741,0.188,0.052
-1.412,2.010,40.337,-0.749,0.182,0.053
-1.540,2.226,40.239,-0.737,0.192,0.055
-1.373,2.177,40.288,-0.755,0.192,0.048
-1.442,2.246,40.454,-0.740,0.188,0.046
-1.344,2.099,40.435,-0.744,0.193,0.053
-1.344,2.089,40.121,-0.757,0.188,0.054
-1.540,2.373,40.327,-0.738,0.181,0.047
-1.442,2.177,40.170,-0.742,0.184,0.055
-1.442,1.961,40.484,-0.755,0.196,0.061
-1.383,2.089,41.004,-0.758,0.193,0.042
-1.491,2.118,40.405,-0.750,0.195,0.053
-1.481,2.089,40.396,-0.743,0.196,0.055
-1.648,2.010,40.464,-0.737,0.178,0.041
-1.285,2.157,40.170,-0.737,0.186,0.056
-1.442,2.128,40.258,-0.743,0.187,0.052
-1.373,2.177,40.239,-0.741,0.175,0.066
-1.373,2.197,40.356,-0.741,0.193,0.056
-1.383,2.079,40.503,-0.743,0.195,0.054
-1.540,2.030,40.248,-0.746,0.196,0.058
-1.501,2.020,40.543,-0.750,0.197,0.054
-1.403,2.187,40.758,-0.743,0.191,0.037
-1.471,2.187,40.621,-0.746,0.208,0.054
-1.412,2.157,40.896,-0.738,0.189,0.040
-1.295,2.148,40.503,-0.739,0.182,0.056
