Fx,Fy,Fz,Mx,My,Mz, ,X,Y,Z,W,P,R,,W,Fy,Fz
0.265,-21.781,22.742,0.411,0.013,0.814,    ,848.692,-64.733,330.707,159.447,-1.067,179.375,,159,21.781,55.666
-0.824,-23.006,22.418,0.548,-0.036,0.775,    ,848.692,-64.733,330.707,158.272,-1.079,179.397,,158,23.006,55.342
-0.637,-23.556,22.261,0.623,-0.043,0.795,    ,848.692,-64.732,330.708,157.053,-1.092,179.42,,157,23.556,55.185
-0.647,-25.125,21.065,0.721,-0.035,0.889,    ,848.692,-64.732,330.708,155.856,-1.104,179.443,,156,25.125,53.989
-0.363,-25.948,20.751,0.748,-0.019,0.882,    ,848.693,-64.732,330.708,154.637,-1.115,179.467,,155,25.948,53.675
0.039,-27.341,20.457,0.8,-0.025,0.934,    ,848.693,-64.731,330.708,153.44,-1.126,179.49,,153,27.341,53.381
-0.961,-27.645,21.732,0.726,0.037,0.894,    ,848.693,-64.731,330.708,152.371,-1.136,179.511,,152,27.645,54.656
-0.235,-29.175,19.564,0.978,-0.084,1.006,    ,848.693,-64.731,330.708,151.174,-1.146,179.535,,151,29.175,52.488
-0.157,-30.322,18.799,1.006,-0.061,0.995,    ,848.693,-64.73,330.709,150.575,-1.15,179.547,,151,30.322,51.723
-1.108,-31.695,19.143,1.082,-0.03,0.957,    ,848.694,-64.73,330.709,149.229,-1.161,179.574,,149,31.695,52.067
-0.078,-32.411,18.034,1.239,-0.128,1.044,    ,848.694,-64.73,330.709,148.01,-1.169,179.599,,148,32.411,50.958
-0.745,-33.598,17.417,1.219,-0.013,1,    ,848.694,-64.73,330.709,147.005,-1.176,179.619,,147,33.598,50.341
-0.5,-33.568,16.269,1.353,-0.171,1.137,    ,848.694,-64.729,330.709,145.915,-1.183,179.642,,146,33.568,49.193
-0.843,-35.775,16.975,1.4,-0.199,1.187,    ,848.694,-64.729,330.71,144.803,-1.19,179.665,,145,35.775,49.899
-1.961,-36.608,16.917,1.444,-0.178,1.043,    ,848.695,-64.729,330.71,143.713,-1.196,179.687,,144,36.608,49.841
-1.902,-37.236,15.063,1.538,-0.19,1.192,    ,848.695,-64.729,330.71,142.516,-1.202,179.712,,143,37.236,47.987
-1.059,-38.501,14.278,1.639,-0.202,1.22,    ,848.695,-64.728,330.71,141.382,-1.208,179.736,,141,38.501,47.202
-1.648,-39.413,14.092,1.745,-0.19,1.141,    ,848.695,-64.728,330.711,140.185,-1.213,179.761,,140,39.413,47.016
-0.255,-38.717,13.818,1.774,-0.173,1.177,    ,848.695,-64.728,330.711,138.988,-1.218,179.787,,139,38.717,46.742
-1.51,-40.737,12.651,1.932,-0.28,1.222,    ,848.696,-64.728,330.711,137.876,-1.222,179.811,,138,40.737,45.575
-1.265,-40.992,9.915,2.095,-0.4,1.241,    ,848.696,-64.727,330.711,137.277,-1.223,179.823,,137,40.992,42.839
-1.059,-42.08,10.238,2.03,-0.256,1.298,    ,848.696,-64.727,330.712,136.059,-1.227,179.849,,136,42.08,43.162
-0.402,-42.316,9.503,2.144,-0.257,1.296,    ,848.696,-64.727,330.712,134.84,-1.23,179.875,,135,42.316,42.427
-1.187,-43.228,8.267,2.308,-0.408,1.343,    ,848.696,-64.727,330.712,133.664,-1.232,179.901,,134,43.228,41.191
-0.951,-45.13,6.463,2.429,-0.468,1.376,    ,848.696,-64.727,330.712,132.424,-1.234,179.927,,132,45.13,39.387
-0.392,-44.228,6.345,2.353,-0.417,1.413,    ,848.697,-64.726,330.713,131.206,-1.235,179.954,,131,44.228,39.269
0.029,-45.572,6.178,2.448,-0.293,1.481,    ,848.697,-64.726,330.713,130.607,-1.236,179.966,,131,45.572,39.102
-1.51,-47.533,5.619,2.51,-0.431,1.436,    ,848.697,-64.726,330.713,129.41,-1.236,179.992,,129,47.533,38.543
-0.863,-46.954,3.825,2.638,-0.443,1.474,    ,848.697,-64.726,330.714,128.212,-1.236,-179.982,,128,46.954,36.749
-1.883,-48.739,1.481,2.948,-0.552,1.393,    ,848.697,-64.726,330.714,127.015,-1.235,-179.956,,127,48.739,34.405
-1.157,-48.788,1.961,2.886,-0.469,1.507,    ,848.698,-64.726,330.714,125.925,-1.234,-179.933,,126,48.788,34.885
-1.01,-49.739,1.167,2.995,-0.545,1.493,    ,848.698,-64.726,330.715,124.706,-1.232,-179.906,,125,49.739,34.091
-1.608,-50.269,0.549,3.018,-0.655,1.512,    ,848.698,-64.726,330.715,123.594,-1.23,-179.883,,124,50.269,33.473
-1.54,-50.936,-1.54,3.128,-0.609,1.535,    ,848.698,-64.725,330.715,122.397,-1.228,-179.857,,122,50.936,31.384
-1.569,-51.142,-2.864,3.247,-0.675,1.595,    ,848.698,-64.725,330.716,121.2,-1.224,-179.831,,121,51.142,30.06
-1.167,-51.044,-3.383,3.223,-0.631,1.599,    ,848.698,-64.725,330.716,120.088,-1.221,-179.808,,120,51.044,29.541
-0.255,-52.711,-3.677,3.363,-0.623,1.666,    ,848.698,-64.725,330.716,118.976,-1.217,-179.784,,119,52.711,29.247
-1.196,-52.289,-4.07,3.417,-0.685,1.653,    ,848.698,-64.725,330.717,117.779,-1.212,-179.759,,118,52.289,28.854
-2.079,-54.309,-4.57,3.523,-0.76,1.611,    ,848.698,-64.725,330.717,117.202,-1.21,-179.746,,117,54.309,28.354
-1.795,-54.662,-7.796,3.557,-0.788,1.74,    ,848.699,-64.725,330.717,116.004,-1.204,-179.721,,116,54.662,25.128
