Fx,Fy,Fz,Mx,My,Mz, ,X,Y,Z,W,P,R
57.447,-15.318,-22.398,2.614,1.346,3.733,    ,866.142,346.500,610.745,131.307,66.203,-154.266
58.408,-16.122,-25.968,2.815,1.339,3.822,    ,870.401,350.504,630.134,125.193,67.425,-160.438
58.771,-16.956,-28.351,2.973,1.256,3.851,    ,875.410,354.014,653.369,117.157,68.509,-168.541
58.722,-17.279,-30.862,3.160,1.203,3.867,    ,878.990,355.706,670.273,110.923,69.013,-174.824
59.203,-17.750,-32.244,3.246,1.172,3.904,    ,880.494,356.209,677.453,108.206,69.150,-177.562
59.016,-17.907,-35.098,3.447,1.102,3.889,    ,885.356,356.960,700.971,99.187,69.269,173.352
58.948,-18.162,-37.510,3.569,1.043,3.912,    ,887.138,356.891,709.716,95.843,69.184,169.983
59.114,-18.809,-38.609,3.676,1.029,3.922,    ,889.413,356.525,720.982,91.593,68.973,165.701
58.791,-18.888,-39.688,3.733,0.948,3.920,    ,890.794,356.146,727.872,89.042,68.788,163.130
58.810,-18.995,-39.531,3.722,0.965,3.908,    ,890.794,356.146,727.872,89.042,68.788,163.130
58.781,-18.907,-39.560,3.728,0.952,3.901,    ,890.794,356.146,727.872,89.042,68.788,163.130
58.506,-18.682,-39.168,3.691,0.951,3.894,    ,889.245,356.563,720.142,91.907,68.993,166.017
59.046,-18.240,-35.588,3.463,1.091,3.902,    ,885.287,356.959,700.635,99.316,69.271,173.481
59.007,-17.603,-33.029,3.289,1.165,3.905,    ,881.229,356.409,680.977,106.863,69.200,-178.915
58.958,-17.250,-29.489,3.066,1.259,3.900,    ,876.298,354.498,657.540,115.645,68.656,-170.066
58.575,-16.308,-26.223,2.882,1.295,3.813,    ,872.089,351.833,637.910,122.584,67.836,-163.070
58.369,-15.887,-23.095,2.677,1.371,3.792,    ,867.010,347.391,614.672,130.116,66.473,-155.470
57.722,-15.367,-20.094,2.462,1.438,3.754,    ,862.586,342.455,594.811,135.894,65.006,-149.632
56.712,-14.818,-16.877,2.284,1.455,3.652,    ,858.290,336.728,575.867,140.837,63.377,-144.631
55.986,-14.141,-14.151,2.091,1.560,3.600,    ,853.223,328.797,553.947,145.906,61.241,-139.493
54.672,-13.415,-11.503,1.895,1.527,3.500,    ,848.963,321.146,535.877,149.610,59.296,-135.731
53.485,-12.798,-7.767,1.698,1.539,3.394,    ,843.887,310.847,514.772,153.462,56.826,-131.809
52.152,-12.013,-5.129,1.483,1.597,3.316,    ,839.637,301.219,497.470,156.287,54.646,-128.923
51.024,-11.542,-2.599,1.312,1.603,3.235,    ,835.460,290.842,480.794,158.765,52.413,-126.384
49.220,-10.876,-0.157,1.155,1.602,3.118,    ,830.383,276.969,460.983,161.442,49.583,-123.633
47.513,-10.003,2.873,0.944,1.632,2.997,    ,826.322,264.834,445.509,163.358,47.230,-121.654
45.591,-9.463,5.521,0.797,1.619,2.856,    ,822.327,251.953,430.632,165.079,44.837,-119.870
42.679,-8.473,7.522,0.629,1.516,2.682,    ,817.614,235.482,413.543,166.930,41.907,-117.941
40.825,-7.855,10.228,0.496,1.496,2.554,    ,813.734,220.812,399.874,168.329,39.402,-116.474
38.893,-7.335,12.464,0.356,1.473,2.418,    ,809.952,205.474,386.929,169.601,36.871,-115.134
35.834,-6.208,14.180,0.186,1.417,2.231,    ,805.641,186.625,372.668,170.954,33.867,-113.698
33.568,-5.874,16.171,0.068,1.369,2.092,    ,802.133,170.104,361.494,171.992,31.314,-112.589
31.048,-5.099,18.466,-0.054,1.305,1.920,    ,798.104,149.659,349.193,173.123,28.244,-111.370
28.371,-4.482,19.349,-0.192,1.190,1.764,    ,794.904,132.157,339.882,173.984,25.681,-110.434
25.242,-3.844,21.310,-0.308,1.102,1.575,    ,791.843,114.212,331.408,174.782,23.107,-109.559
22.320,-3.128,22.055,-0.411,1.029,1.392,    ,788.347,92.054,322.334,175.669,19.990,-108.576
19.711,-2.687,23.526,-0.498,0.955,1.230,    ,785.568,72.951,315.664,176.361,17.350,-107.800
16.975,-2.059,24.536,-0.597,0.863,1.079,    ,782.869,52.871,309.739,177.028,14.612,-107.043
13.425,-1.500,25.997,-0.684,0.768,0.857,    ,780.001,29.495,304.178,177.738,11.463,-106.225
10.621,-0.755,25.831,-0.709,0.685,0.699,    ,777.827,10.032,300.600,178.283,8.866,-105.589
7.443,-0.392,26.645,-0.785,0.511,0.502,    ,775.452,-13.503,297.513,178.894,5.746,-104.863
4.403,0.422,27.204,-0.804,0.434,0.310,    ,773.652,-33.440,295.933,179.375,3.114,-104.281
1.334,0.696,27.488,-0.829,0.293,0.144,    ,771.756,-57.211,295.273,179.911,-0.018,-103.618
-1.795,1.206,27.733,-0.872,0.178,-0.079,    ,770.368,-77.237,295.743,-179.665,-2.659,-103.083
-5.345,1.775,27.635,-0.870,0.011,-0.248,    ,769.183,-97.062,297.133,-179.268,-5.282,-102.570
-8.424,2.206,27.812,-0.895,-0.144,-0.447,    ,768.011,-120.884,300.032,-178.817,-8.451,-101.971
-11.317,2.481,26.958,-0.874,-0.260,-0.615,    ,767.249,-140.653,303.473,-178.464,-11.103,-101.486
-14.886,2.981,26.262,-0.857,-0.422,-0.825,    ,766.605,-163.907,308.754,-178.069,-14.258,-100.925
-17.760,3.373,25.419,-0.838,-0.560,-0.977,    ,766.285,-183.234,314.193,-177.756,-16.916,-100.463
-20.604,3.638,24.546,-0.805,-0.721,-1.137,    ,766.166,-202.774,320.699,-177.455,-19.645,-99.999
-24.222,3.893,24.105,-0.747,-0.898,-1.353,    ,766.301,-225.305,329.526,-177.124,-22.853,-99.462
-26.998,4.266,22.624,-0.678,-1.046,-1.507,    ,766.632,-243.444,337.725,-176.870,-25.495,-99.025
